Ausgabe;Autoren;Rubrik;Titel;Seiten;Abstract
"2020-1";"Hans-Christian Funke";"Modell";"Modulix";"70–74";"Robotik ist das aktuelle Thema – Maschinen, die uns Arbeit abnehmen und in eigener Regie einen Arbeitsvorgang erledigen. Das wird in der Regel durch eine Programmsteuerung realisiert, aber auch hier lagen einmal die Anfänge in einfachen logischen Verknüpfungen."
"2020-1";"Peter Gabriel";"Computing";"Adapter für fischertechnik-Computing-Modelle";"75–78";"Die fischertechnik-Computing-Modelle der 80er Jahre sind noch immer ein Hingucker – und eignen sich bis heute für den Einsatz im Unterricht, zumal sie noch in vielen Schulen vorhanden sind. Mit einem einfachen Arduino-Adapter lassen sie sich aus dem Dornröschenschlaf aufwecken und für einen modernen Informatik-Unterricht wiederbeleben."
"2020-1";"Dirk Fox";"Modell";"Solarzellennachführer";"79–84";"Die Stromausbeute einer Solarzelle hängt nicht nur von der Anzahl der Sonnenstunden und der Intensität der Einstrahlung, sondern auch vom Einfallswinkel ab – also der Ausrichtung der Solarzelle zur Sonne hin. Wie viel Einfluss aber hat der Einfallswinkel auf den Wirkungsgrad?"
"2019-4";"Dirk Fox";"Editorial";"Der schiefe Turm";"2";
"2019-4";"Rüdiger Riedel";"Modell";"Mini-Modelle (22): Familie Leuchtstein";"4–6";"Wir bauen Roboter – gleich eine ganze Großfamilie: Vater Taper, Mutter Mira, Sohn Quentin, Onkel Grischa und Nichte Theodora!"
"2019-4";"Stefan Falk, Daniel Großmann, Rüdiger Riedel, Manfred Schendel, René Trapp";"Modell";"Konstruktionswettbewerb Gummi-Auto";"7–18";"Im Editorial der Ausgabe 3/2019 der ft:pedia [1] riefen wir dazu auf, ein Fahrzeug mit Gummiantrieb mit möglichst wenigen Teilen herzustellen. Heute dürfen wir euch die eingereichten Lösungen vorstellen – herzlichen Dank an alle Tüftler und Einsender!"
"2019-4";"Stefan Fuss, Christian Bergschneider";"Tipps & Tricks";"Verkabelung (Teil 2)";"19–21";"„Spieglein, Spieglein an der Wand, wer hat die beste Kabelführung im fischertechnik-Land? Ihr Frau Königin, habt die Beste DynamicsXL, jedoch die fischertechniker auf der Convention haben viel mehr Kabel als Ihr!“"
"2019-4";"René Trapp";"Modell";"Balkenwaage";"22–24";"Mit fischertechnik kann man keine empfindliche Waage bauen? Oh doch, und wie!"
"2019-4";"Uwe Hinrichs";"Modell";"Elektromagnetisches Pendel ohne Lichtschranke";"25–27";"Als Jugendlicher fand ich die mittels Lichtschranke gesteuerten elektromagnetischen Pendel sehr interessant. Sowohl die einfachen Varianten, wie sie in den Anleitungen zum l-e 1 und ec 1 beschrieben wurden (die im Prinzip mit einem einzigen Relais auskamen), als auch die regelungstechnisch aufwendigere Variante, wie sie in hobby 4, Band 3 [1] beschrieben ist (mit vier Silberlingen: Grundbaustein, Flip-Flop und zwei Relais). Dass da eine andauernde Bewegung erzeugt wurde, ohne dass sichtbar Kraft ausgeübt wurde (etwa durch einen Motor), war schon faszinierend. Noch eleganter aber wäre es, wenn man „gar nichts“ sehen würde, also auch kein Licht."
"2019-4";"Rüdiger Riedel";"Elektromechanik";"Vom 3-T-Anker zum Brushless";"28–39";"In diesem Beitrag erzeugen wir Drehstrom – und betreiben damit Synchronmotoren unterschiedlicher Bauweise und mit unterschiedlicher Polpaar- bzw. Drehzahl."
"2019-4";"Hans-Christian Funke";"Elektronik";"Elektronikmodule (Teil 1): Einleitung";"40–46";"Silberlinge – Nostalgie oder aktuell? Mit dieser Überschrift hatte ich Ende letzten Jahres eine Umfrage im Forum der ft:c gestartet, um zu erfahren, ob ein Ersatz für die Silberlinge überhaupt interessant wäre. 70% der Teilnehmer gaben eine positive Rückmeldung."
"2019-4";"Axel Chobe";"Computing";"Micro:Bit";"47–51";"Seit kurzer Zeit gibt es bei fischertechnik das „Starter Set for micro:bit“ für ca. 120 € zu kaufen. Dabei erfolgt die Programmierung mit dem MakeCode-Editor. Es reicht aber auch, zwei Hardwareelemente zu kaufen, um diese Art der Programmierung und Ansteuerung zu testen."
"2019-4";"Stefan Fuss, Christian Bergschneider, Björn Gundermann, Christian Lauff, Dirk Wölffel";"Computing";"Von Schrittmotoren und Servos – Teil 2";"52–57";"Vor einem Jahr haben wir die Idee für den ftPwrDrive an dieser Stelle vorgestellt [1]. Aus dem Entwicklungsprojekt von damals ist in der Zwischenzeit eine fertige Hardware geworden; die ersten Komplettgeräte wurden zur Convention ausgeliefert. Im zweiten Teil des Beitrags beschrieben wir, wie sich der Controller in Modelle integrieren und programmieren lässt."
"2019-3";"Stefan Falk";"Editorial";"Ran an die Kästen – wörtlich gemeint";"2";
"2019-3";"Rüdiger Riedel";"Modell";"Mini-Modelle (Teil 22): Dumper";"4–5";"Was sind Dumper? Es sind grundsätzlich Muldenkipper zum Transport von Schüttgütern wie Schotter, Kies und Gestein."
"2019-3";"Rüdiger Riedel";"Modell";"Das Klettermännchen";"6–8";"Vor vielen Jahren habe ich auf einem Weihnachtsmarkt ein hübsches Holzfigürchen gekauft, das ein Seil hinaufklettern konnte. Aber wie funktioniert so ein Klettermännchen? Das Minimodell bringt es an den Tag."
"2019-3";"Harald Steinhaus";"Modell";"Citroën Typ H";"9–12";"Die Karosserien von fischertechnik-Modellen real existierender Fahrzeuge erwecken nicht immer den Originaleindruck eines Lego-Modells – aber manchmal eben doch. Und wenn sich dann unter einer Haube mit hohem Wiedererkennungswert auch noch technische Kleinode verbergen, macht das fischertechniker-Herz kleine Sprünge."
"2019-3";"Rüdiger Riedel";"Modell";"Rüttelplatte";"13–17";"Auf eine zünftige Baustelle gehört eine Rüttelmaschine: Wo immer gebuddelt, aufgegraben und wieder zugeschüttet wird, ist der Untergrund locker. Damit er nicht im Laufe der Zeit einsackt, sondern rasch begehbar, bebaubar oder sonst wie nutzbar wird, müssen wir ihn verdichten."
"2019-3";"Stefan Falk";"Getriebe";"Getriebe mit feiner Verzahnung";"18–21";"Die typischen fischertechnik-Getriebe bestehen aus den „groben“ Zahnrädern im Modul 1,5. Mit den recht vielen Teilen mit „feiner“ Verzahnung im Modul 0,5 lässt sich aber ebenfalls viel erreichen – ein Überblick."
"2019-3";"Markus Lobmaier";"Modell";"Lego-Sortiermaschine aus fischertechnik";"22–26";"Spielen mit Lego: Ein Traum für die ganze Familie. Einen Wermutstropfen gibt es allerdings: Das Sortieren und Aufräumen. Alle wissen, dass nach einem kreativen Tag mit Lego immer eine mühsame und langweilige Sortier- und Aufräumaktion gestartet werden muss."
"2019-3";"Till Harbaum";"Computing";"Der Mini-Servo-Adapter";"27–31";"Servomotoren waren und sind Bestandteil des offiziellen fischertechnik-Programms. Leider führen diese eigentlich recht universell einsetzbaren Motoren dort ein Nischendasein und werden nur zur Lenkung von Fahrzeugen verwendet. Der Mini-Servo-Adapter verbindet die Servos mit dem ftDuino und macht sie so auch in Robotermodellen nutzbar."
"2019-2";"Dirk Fox";"Editorial";"Die Mission";"2";
"2019-2";"Roland Enzenhofer";"ft-Geschichte (Grundlagen)";"50 Jahre Apollo 11 – und das „luna-mobil“";"4–6";"Vor 50 Jahren erreichte das „Space Race“, der Wettlauf zum Mond, seinen Höhepunkt. Die US-Astronauten Neil Armstrong und Edwin „Buzz“ Aldrin setzten als erste Menschen ihren Fuß in den Staub des Erdtrabanten. Apollo 11 war 1969 die erste von insgesamt sechs erfolgreichen bemannten Missionen zum Mond. 600 Millionen Menschen sahen weltweit live am Fernseher zu und hörten Armstrongs bekannte Worte „Ein kleiner Schritt für einen Menschen, ein riesiger Sprung für die Menschheit“. fischertechnik begleitete das Sensationsereignis mit dem Sonder-Geschenkkasten „luna-mobil“ und zahlreichen Modellen und Beiträgen."
"2019-2";"Stefan Falk";"Tipps & Tricks";"Kaulquappen (Teil 10)";"7–8";"Bei den Arbeiten an einem Kipper-LKW ergaben sich ein paar zwar letztlich für das Modell verworfene, aber grundsätzlich doch nützliche Kleinode."
"2019-2";"Rüdiger Riedel";"Grundlagen";"Rundbögen";"9–14";"Bautechnik fundamental, oder Stein auf Stein."
"2019-2";"Hans Wijnsouw";"Würdigung (Reportage)";"Erinnerungen an Peter Damen";"15–20";"Zur Würdigung eines großen, herausragend kreativen fischertechnikers. (Der Beitrag erschien im Clubblatt April 2019 des fischertechnikclub NL, S. 29-31. Übersetzung: Thomas Püttmann.)"
"2019-2";"Daniel Canonica";"Modell";"Kran mit Derrickausleger";"21–25";"Die größten und stärksten Kräne der Welt arbeiten mit sogenannten Derrickauslegern, welche das Ganze im Gleichgewicht halten und selbst hunderte Tonnen Ballast tragen. Meistens sind sie als Raupenkrane ausgeführt, es gibt aber auch derartige Pneukräne."
"2019-2";"Dirk Wölffel";"Modell";"Gabelstapler";"26–31";"Im Jahr 2009 erschien der fischertechnik-Baukasten Robo TX Training Lab als Bausatz (Abb. 1). Das Highlight des Baukastens ist ein Gabelstapler, ausgestattet mit einem TX Controller, der zwei Encoder-Motoren ansteuert. Eine 2 cm breite Fahrspur wird mit Hilfe eines IR-Spursensors abgetastet. Zehn Jahre später ist, wie überall, die Technik weiter fortgeschritten. Es hat sich einiges in der fischertechnik-Welt getan: Es gibt 3D-Drucker, den TXT-Controller, eine Kamera etc. Ansporn genug, einen neuen Gabelstapler zu konstruieren, um zu zeigen, was möglich ist – und wie der 3D-Druck helfen kann, beim „Feinschliff“ eines Modells Lösungen zu finden."
"2019-2";"Stefan Falk";"Elektronik";"Dreipunktregelung";"32–38";"In diesem Beitrag steuern wir zwei Electronics-Module von einer einzigen Fotozelle aus an, um eine Abstandsregelung mit Hysterese herzustellen."
"2019-2";"Till Harbaum";"Elektronik";"Wie funktioniert ein I²C-Level-Shifter?";"39–45";"Der I²C-Bus war schon in vielen Ausgaben der ft:pedia ein Thema. Der TX- und auch der TXTController verfügen über einen entsprechenden Anschluss, über den sich vor allem diverse Sensoren leicht anschließen lassen. Allerdings ist I²C nicht gleich I²C. Je nach Umsetzung unterscheiden sich die Varianten in der Betriebsspannung, der Datenrate und ähnlichem. Dieser Beitrag beschränkt sich auf elektrische Eigenschaften. Für die logischen Eigenschaften sei auf frühere ft:pedia-Artikel verwiesen."
"2019-2";"Dirk Fox";"Computing";"I²C mit dem TX(T) – Teil 18: Keypads und GPIO-Port-Erweiterung";"46–51";"Der TX(T) ist ein „embedded system“ – ein programmierbarer Steuerungs-Mikrocontroller (fast) ohne Ein- und Ausgabe-Peripherie. Allerdings gibt es Erweiterungsmöglichkeiten: Wie man dem TX(T) über die I²C-Schnittstelle ein größeres LCD-Display spendiert, haben wir in einer früheren Folge gezeigt [1]. In diesem Beitrag stellen wir vor, wie man den TX(T) um ein einfaches Tastenfeld erweitert – und lernen dabei zugleich, wie sich eine große Zahl von GPIOPorts spielend ergänzen lässt."
"2019-2";"Leon Schnieber, Max-Leo Amberg";"Modell";"Sortieranlage für fischertechnik-Teile";"52–62";"Wer räumt schon gerne auf? Diese Frage stellten wir uns auch. Deshalb begannen wir eine Anlage zu entwickeln, die diese Arbeit automatisiert. Sie sollte modular und flexibel konstruiert sein, sodass sie beliebige und wechselnde Teile sortieren kann. Zur Erkennung der Teile dient eine auf neuronalen Netzen basierende KI (künstliche Intelligenz). Nach eineinhalbjähriger Entwicklungszeit kann die Anlage nun 18 verschiedene fischertechnik-Teile erkennen und in ein Lager einsortieren."
"2019-1";"Dirk Fox";"Editorial";"„Muss man das verstehen?“";"2";
"2019-1";"Christian Bergschneider, Stefan Fuss";"Wissenschaft (Modell)";"Minimodelle schreiben Geschichte";"5–6";"Die Höhlenmalerei im südfranzösischen Lasceaux enthält einige der ältesten bildlichen Darstellungen der Menschheitsgeschichte. Aufgrund der jüngsten Auswertungen dieser Bilder müssen wahrscheinlich wesentliche Kapitel der Geschichte überarbeitet und teilweise neu geschrieben werden."
"2019-1";"Rüdiger Riedel, Stefan Falk";"Modell";"Spielereien mit Magneten";"7–11";"Durch die Dynamic-Kästen haben wir Stahlkugeln, seit der „Technikgeschichte mit fischertechnik“ [1] haben wir kleine Stabmagnete. Was lässt sich damit noch anfangen?"
"2019-1";"Wilhelm Lichtenberg";"Tipps & Tricks";"ft-refurbishment (Teil 1)";"12–14";"Wer kennt das nicht: Viele alte Bausteine (z. B. BS30, BS15, alle Farben) sind nur noch eingeschränkt zu gebrauchen, weil der Zapfen zwar noch vorhanden ist, aber die Steine meistens nur noch sehr locker miteinander verbunden werden können. Diese wandern dann meistens in die große Gemischtkiste, wo sie auf ihre nächste Bestimmung wie z. B. das „modding“ warten oder sogar entsorgt werden. Aber das muss nicht sein, weil es eine sehr einfache Methode gibt die Steine wieder „fit“ zu machen."
"2019-1";"Rüdiger Riedel";"Tipps & Tricks";"Die Welt der ft-Winkelbausteine (Teil 3), UFO-Ringe";"15–22";"Wie ich in der ft:pedia 1/2017 beschrieben habe, lassen sich mit den fischertechnik-Winkelsteinen auch dreidimensionale Gebilde, Schrauben und Wellenringe bauen. Das will ich hier ergänzen um Ringe mit scharfem Rand, die UFO-Ringe."
"2019-1";"Stefan Falk";"Modell";"Urlaubskasten-Modell 6: Berg- und Talbahn";"23–26";"Aus dem Wohnzimmer-Dienstreisen-Urlaubs-Notfallkasten aus ft:pedia 1/2016 [1] lässt sich eine einfache Berg- und Talbahn herstellen – bitteschön!"
"2019-1";"Rüdiger Riedel";"Modell";"Kugel-Rotationsbeschleuniger";"27–32";"Alle rollen abwärts, wir rollen aufwärts: Durch Rotation eilt die Kugel bergauf."
"2019-1";"Leon Schnieber";"Modell";"Elektrisch verstellbares Teleskopstativ aus fischertechnik";"33–36";"In der Schule belegte ich das Wahlfach Astronomie. Da unser Lehrer neben dem gewöhnlichen Lehrstoff auch versucht, uns für die Sternenbeobachtung zu begeistern, bauten wir mit ihm außerhalb des Unterrichts ein „Baumarkt-Teleskop“ [1]. Schon beim Bau fasste ich den Entschluss, die Ausrichtung des Fernrohrs mit Hilfe von fischertechnik-Teilen zu motorisieren."
"2019-1";"Stefan Falk";"Schaltungstechnik (Elektromechanik)";"Motorsteuerungen (5): Schrittschaltwerke mit Wechselschaltung oder: Die Macht des XOR";"37–46";"In verschiedenen Beiträgen in der ft:pedia haben wir solche Schaltungen bereits verwendet, aber sie verdienen mal eine eigene, ausführliche Betrachtung: Die Verwendung von zwei Tastern für eine Schritt-Steuerung."
"2019-1";"Peter Habermehl";"Computing";"Neues von startIDE: Feldvariable, Servos und I2C";"47–53";"Seit der in ft:pedia 4/2018 vorgestellten Version 1.5 von startIDE [1, 2] gab es zahlreiche Erweiterungen der Programmier-App. Aktuell ist sie in Version 1.7 im App-Store der community firmware verfügbar. Mit Version 1.6 wurden Feldvariable eingeführt, mit Version 1.6.6 die Ansteuerung von Servos, die über ein I2C-Shield an diverse Controller angeschlossen werden können, und mit Version 1.7 Funktion zum direkten Schreiben und Lesen auf dem I2C-Bus sowie einige mathematische Bitoperatoren. Die neuen Funktionen werden im Folgenden kurz vorgestellt."
"2019-1";"Rolf Meingast";"Computing";"startIDE (6): Sonar";"54–56";"Ein drehbarer Ultraschallsensor (Sonar) soll seine Umgebung erkunden und die Ergebnisse auf dem Bildschirm anzeigen [1]. Dieser Beitrag beschäftigt sich mit dem Aufbau und dem Programm zur Steuerung, das auf dem TXT mit der App startIDE läuft [2]."
"2019-1";"Rolf Meingast";"Computing";"startIDE (7): Psychrometer";"57–60";"Dieser Beitrag beschäftigt sich mit dem Aufbau eines fischertechnik-Psychrometers und dem Programm zur Steuerung, das auf dem TXT oder dem TX-Pi mit der App startIDE läuft [1]."
"2019-1";"Rolf Meingast";"Computing";"startIDE (8): Messung von Temperatur und relativer Luftfeuchtigkeit mit dem Si7021";"61–63";"Der Sensor Si7021 von Silicon Labs ist für die Messung von Temperatur und Luftfeuchtigkeit konzipiert. Nach der Erweiterung von startIDE [1] um I2C-Funktionalitäten [2] lag es nahe, die mit einem Si7021 ermittelten Messwerte mit denen des fischertechnik-Psychrometers [3] zu vergleichen."
"2019-1";"Dirk Fox";"Computing";"I²C mit dem TX(T) – Teil 17: Luftdruck- und Temperatursensor (2)";"64–70";"Für den Bosch-Drucksensor BMP085 hat Georg Stiegler in Ausgabe 1/2013 [1] einen Treiber für ROBO Pro vorgestellt. Inzwischen hat der Sensor mehrere Nachfolger bekommen – den BMP180 und, Ende 2013, den BMP280. Letzterer erreicht eine sehr hohe Genauigkeit und liefert außerdem einen äußerst präzisen Temperaturwert."
"2019-1";"Martin Giger";"Computing";"Sustainable smart home with the TXT";"71–74";"fischertechnik launched the smart home kit last year. A very good move on a conceptual level. Smart home and IoT (internet of things) are rapidly growing technology sectors. The unique placement of the TXT allows it to be a perfect introductory platform to this world."
"2019-1";"Till Harbaum";"Computing";"ftDuino spielt Minecraft";"75–78";"fischertechnik trifft virtuelle Bausteinwelt!"
